ID,JJ,n,age,adjhlg,adjhlgSE,method,sex,yr
37T,12,4,5,23.338837346055378,5.044785103943508,mixed,female,1993
37T,114,4,5,24.024414656322612,4.224259701000659,mixed,female,1993
37U,12,3,4,19.708132885451928,5.030030026867541,mixed,female,1993
37U,114,3,4,20.67723305420922,4.198693294264852,mixed,female,1993
39W,114,4,2,16.788264896963753,4.179745589077571,mixed,female,1993
39W,12,4,2,14.396011971209397,4.976668337298886,mixed,female,1993
3M,114,5,11,26.496307226965683,4.16242581378459,mixed,female,1993
3M,12,5,11,26.56773291381086,4.992388014038294,mixed,female,1993
3QR,12,2,8,19.97108989073719,5.017919605098612,mixed,female,1993
3QR,114,2,8,20.922385829438532,4.191948728235272,mixed,female,1993
3S,12,3,7,25.011583195861334,4.9982644403732515,mixed,female,1993
3S,114,3,7,25.376596544407978,4.1882537160546205,mixed,female,1993
40T,114,3,5,22.585908901323968,4.18144060750932,mixed,female,1993
40T,12,3,5,22.247695936489528,4.9968928172372635,mixed,female,1993
40U,114,2,4,23.04979121419544,4.305668114692102,mixed,female,1993
40U,12,2,4,22.39256928288044,5.159138414557968,mixed,female,1993
42T,12,5,5,24.199105655351808,5.043878269719609,mixed,female,1993
42T,114,5,5,24.287188628230197,4.231147850330202,mixed,female,1993
42U,12,6,4,27.684396379276205,5.053701624349558,mixed,female,1993
42U,114,6,4,27.772217756578016,4.246019392705399,mixed,female,1993
48W,12,4,2,18.362481227859,4.6496515217017365,mixed,female,1993
48W,114,4,2,20.519632013343518,3.8926798004114853,mixed,female,1993
49U,114,4,4,20.57630687882434,4.4569405189256726,mixed,female,1993
49U,12,4,4,19.569128926775253,5.31818867499452,mixed,female,1993
4M,12,5,11,25.970390957327385,5.090782932021539,mixed,female,1993
4M,114,5,11,25.94437956801243,4.286974694207235,mixed,female,1993
50U,12,3,4,19.34026932734948,5.10495848486988,mixed,female,1993
50U,114,3,4,20.64638639993087,4.276018223659914,mixed,female,1993
50W,12,4,2,10.293635301276272,5.0754637902845,mixed,female,1993
50W,114,4,2,13.456766918653933,4.246199416333565,mixed,female,1993
51T,114,4,5,21.64084850198997,4.121178518238386,mixed,female,1993
51T,12,4,5,20.676448896024272,4.964166946734512,mixed,female,1993
